Bidding Date,Project Title,Fund Source,Participating Bidders,Winning Bidder,Winning Bid Amount,Contract or Purchase Order (Reference No. and Date),,,,,,,
2/9/2026," Pole, Steel, 30ft, 35ft (Non-Segmented) 3.2 mm. 86 Micron, 500 kgs.(minimum load break),Tip Dia 127mm.Yield Stress 345 mpa. Butt Dia 226 mm. ", General Fund , MEDCO technical Services and Electrical Supply Corporation/EJYM Electrical Supply/Meter King Incorporated/Electrade Industrial Supply , MEDCO Technical Services and Electrical Supply Corporation ," 1,481,200.00 ", RIV-033036 ,,,,,,,
2/10/2026," Camalong Grip, Klein Tools ", General Fund ," AJCM Marketing/Sangree Industrial Sales, Inc./Kupler Industries, Inc. ", AJCM Marketing ," 306,000.00 ", RIV-033247 ,,,,,,,
2/10/2026, Conductor Roller 8" diameter ,General Fund," AJCM Marketing/Sangree Industrial Sales, Inc./Parallel Groove Industrial Corp. ", AJCM Marketing ," 320,000.00 ", RIV-033248 ,,,,,,,
2/13/2026," Pole, Steel ", General Fund ," Electrade Industrial Supply/MEDCO Technical Services and Electrical Supply Corporation/Sangree Industrial Sales, Inc./Meter King Incorporated ", MEDCO Technical Services and Electrical Supply Corporation ," 319,400.00 ", RIV-033108 ,,,,,,,
2/13/2026, Collection Receipt (Power Bill Receipt) , General Fund , New Solid Printing Services/22 Karats Printing and Publishing House/GPH Printer , 22 Karats Printing and Publishing House ," 906,780.00 ", RIV-033144 ,,,,,,,
2/19/2026," Anchor, Expanding, 8,000 Pounds, 4 Way, Galvanized Steel ", General Fund ," Communications Electrical Equipment & Supply Co., Inc./Meter King Incorporated/JCLM Electrical and Industrial Supplies Trading "," Meter King Incorporated, JCLM Electrical and Industrial Supplies Trading "," 260,003.50, 586,249.70 ", RIV-033033 ,,,,,,,
2/20/2026," Link, Fuse, Universal, Bottom Head, Type K ", General Fund ," Centrade Integrated Sales Corp./Kupler Industries, Inc./HI-Temp Builders Corporation ", Centrade Integrated Sales Corp. ," 314,000.00 ", RIV-033215 ,,,,,,,
2/23/2026," Conductor, Bare Wire ", General Fund ," Meter king Incorporated/Communications Electrical Equipment & Supply Co., Inc./JCLM Electrical and Industrial Supplies Trading ", JCLM Electrical and Industrial Supplies Trading ," 821,692.70 ", RIV-033102 ,,,,,,,
2/26/2026, KHW Meter , General Fund ," Pelican Industrial Sales Corporation/Enex Electric (Phils.), Inc./Centrade Integrated Sales Corp./Sangree Industrial Sales, Inc./Kupler Industries, Inc. "," Enex Electric (Phils.), Inc. "," 1,580,000.00 ", RIV-033199 ,,,,,,,
3/2/2026," Anchor, Expanding, 10,000 Pounds, 8 Way, Hot Dip Galvanized Steel ", General Fund ," Meter King Incorporated/JCLM Electrical and Industrial SUpplies Trading/Communications Electrical Equipment & Supply Co., Inc. "," Meter King Incorporated, JCLM Electrical and Industrial Supplies Trading "," 1,035,409.50, 845,554.60 ", RIV-033002 ,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
